timestamp_s,pos_real_x,pos_real_y,pos_plan_x,pos_plan_y,desviacion_m,eta_s,vel_lineal,vel_angular
0.1682,-0.1805,0.9258,-0.1600,0.8300,0.0980,0.0000,0.0040,0.0348
0.3682,-0.1617,0.9325,-0.1087,0.8461,0.1013,907.3824,0.1768,0.2632
0.5682,-0.1180,0.9504,-0.0712,0.8709,0.0923,273.0937,0.2600,0.3684
0.7682,-0.0724,0.9725,-0.0215,0.9046,0.0849,212.7788,0.2600,0.2632
0.9682,-0.0286,0.9965,0.0155,0.9301,0.0798,211.9324,0.2600,0.2632
1.1682,0.0140,1.0226,0.0820,0.9123,0.1296,213.3040,0.2600,0.2524
1.3682,0.0550,1.0499,0.1318,0.9459,0.1293,213.3090,0.2545,0.1179
1.5682,0.0959,1.0787,0.1689,0.9713,0.1299,214.7912,0.2600,0.0526
1.7683,0.1359,1.1073,0.2060,0.9968,0.1309,214.5214,0.2600,-0.0000
1.9682,0.1766,1.1364,0.2550,1.0313,0.1311,213.9256,0.2600,0.0526
2.1684,0.2171,1.1656,0.2921,1.0568,0.1322,210.4693,0.2600,-0.0385
2.3683,0.2577,1.1948,0.3443,1.0776,0.1458,212.0203,0.2600,0.0526
2.5683,0.2944,1.2215,0.3816,1.1026,0.1474,213.0466,0.2531,-0.0333
2.7682,0.3343,1.2502,0.4188,1.1280,0.1486,213.6186,0.2600,0.0526
2.9682,0.3716,1.2774,0.4557,1.1537,0.1496,213.2866,0.2600,-0.0280
3.1683,0.4115,1.3063,0.4925,1.1796,0.1504,213.2165,0.2600,0.0526
3.3683,0.4525,1.3361,0.5486,1.1937,0.1718,211.2659,0.2600,-0.0000
3.5683,0.4922,1.3649,0.5861,1.2187,0.1739,211.2551,0.2532,-0.0526
3.7683,0.5325,1.3940,0.6356,1.2525,0.1751,211.9948,0.2463,-0.0000
3.9683,0.5698,1.4206,0.6726,1.2782,0.1757,210.7312,0.2600,-0.0084
4.1683,0.6104,1.4497,0.7094,1.3040,0.1761,208.7016,0.2600,-0.0000
4.3683,0.6503,1.4782,0.7100,1.3100,0.1785,212.3655,0.2463,-0.0491
4.5684,0.6901,1.5066,0.8006,1.3514,0.1905,214.4246,0.2600,0.0141
4.7684,0.7263,1.5324,0.8380,1.3765,0.1917,214.4070,0.2518,-0.0526
4.9684,0.7673,1.5611,0.8752,1.4019,0.1923,212.0953,0.2532,0.0526
5.1684,0.8084,1.5900,0.9244,1.4362,0.1926,209.8924,0.2600,-0.0526
5.3684,0.8488,1.6180,0.9613,1.4619,0.1923,209.6835,0.2600,-0.0526
