timestamp_s,pos_real_x,pos_real_y,pos_plan_x,pos_plan_y,desviacion_m,eta_s,vel_lineal,vel_angular
0.1770,-0.2336,0.9013,-0.1600,0.8300,0.1025,0.0000,0.0283,0.1579
0.3770,-0.2105,0.9096,-0.1600,0.8300,0.0943,699.3046,0.2011,0.3047
0.5770,-0.1652,0.9281,-0.1600,0.8300,0.0982,256.4831,0.2583,0.2632
0.7770,-0.1200,0.9491,-0.0712,0.8709,0.0922,213.9545,0.2600,0.2632
0.9770,-0.0735,0.9735,-0.0215,0.9046,0.0864,216.7806,0.2463,0.1579
1.1770,-0.0301,0.9986,0.0200,0.9200,0.0932,216.3153,0.2600,0.1579
1.3770,0.0116,1.0247,0.0200,0.9200,0.1051,213.0685,0.2600,0.0526
1.5770,0.0497,1.0494,0.1066,0.9591,0.1067,214.8021,0.2600,-0.0000
1.7770,0.0930,1.0776,0.1564,0.9926,0.1060,221.0369,0.2600,0.0526
1.9770,0.1347,1.1052,0.1935,1.0181,0.1050,218.0378,0.2600,-0.0000
2.1770,0.1757,1.1325,0.2303,1.0440,0.1040,213.1977,0.2600,0.1579
2.3770,0.2170,1.1609,0.2600,1.0400,0.1283,212.4003,0.2463,-0.0000
2.5770,0.2581,1.1889,0.3319,1.0691,0.1407,212.0117,0.2600,-0.0387
2.7769,0.3001,1.2173,0.3816,1.1026,0.1407,209.9247,0.2597,-0.0000
2.9770,0.3404,1.2444,0.4188,1.1280,0.1403,213.4646,0.2600,-0.0526
3.1769,0.3827,1.2724,0.4680,1.1623,0.1392,211.5020,0.2600,0.0299
3.3770,0.4238,1.2995,0.4700,1.1900,0.1189,211.3814,0.2600,-0.0526
3.5769,0.4662,1.3274,0.5351,1.2143,0.1324,210.6811,0.2600,0.0503
3.7769,0.5077,1.3550,0.5848,1.2479,0.1320,209.2786,0.2600,-0.0526
3.9769,0.5498,1.3826,0.6220,1.2732,0.1311,210.0487,0.2600,0.0526
4.1770,0.5877,1.4075,0.6590,1.2989,0.1300,211.5238,0.2600,-0.0000
4.3769,0.6294,1.4350,0.7081,1.3333,0.1286,210.3918,0.2600,0.0419
4.5769,0.6746,1.4649,0.7100,1.3400,0.1298,209.3878,0.2600,-0.0000
4.7769,0.7126,1.4900,0.7850,1.3708,0.1394,210.3231,0.2463,-0.0526
4.9769,0.7550,1.5174,0.8348,1.4043,0.1384,209.9853,0.2600,0.0526
5.1769,0.7963,1.5443,0.8720,1.4297,0.1374,209.7289,0.2575,-0.0520
5.3769,0.8377,1.5713,0.9211,1.4640,0.1358,212.0628,0.2466,0.0503
5.5769,0.8795,1.5987,0.9479,1.4802,0.1368,210.9383,0.2600,-0.0526
5.7769,0.9209,1.6255,0.9980,1.5132,0.1363,210.7030,0.2600,0.0526
5.9768,0.9627,1.6530,1.0352,1.5385,0.1355,210.5637,0.2600,-0.0122
6.1768,1.0039,1.6798,1.0846,1.5726,0.1341,210.0359,0.2600,0.0526
6.3768,1.0419,1.7045,1.1214,1.5985,0.1325,210.2935,0.2597,-0.0000
6.5769,1.0872,1.7338,1.1300,1.6100,0.1309,208.3586,0.2600,-0.0295
6.7768,1.1298,1.7612,1.2087,1.6432,0.1419,206.2209,0.2600,-0.0000
6.9768,1.1718,1.7883,1.2462,1.6680,0.1414,206.0478,0.2600,-0.0526
7.1768,1.2141,1.8151,1.2958,1.7018,0.1397,207.6581,0.2600,0.0526
7.3769,1.2555,1.8416,1.3329,1.7274,0.1380,208.6425,0.2600,-0.0526
7.5768,1.2938,1.8660,1.3697,1.7532,0.1360,209.0387,0.2600,0.0526
7.7768,1.3392,1.8952,1.4300,1.7711,0.1538,208.5586,0.2600,-0.0000
7.9768,1.3814,1.9220,1.4673,1.7962,0.1524,207.0763,0.2600,-0.0526
8.1768,1.4237,1.9486,1.5045,1.8215,0.1506,206.9018,0.2600,-0.0000
8.3767,1.4666,1.9755,1.5537,1.8559,0.1480,205.0093,0.2600,-0.0526
8.5767,1.5085,2.0014,1.5906,1.8816,0.1453,206.5528,0.2600,-0.0000
8.7768,1.5550,2.0301,1.6346,1.9171,0.1383,205.4276,0.2600,-0.0526
8.9768,1.5982,2.0566,1.6720,1.9420,0.1362,204.3170,0.2597,0.0526
9.1767,1.6401,2.0824,1.7216,1.9758,0.1342,205.9235,0.2600,-0.0000
9.3767,1.6785,2.1060,1.7585,2.0015,0.1317,206.5238,0.2600,0.0526
9.5767,1.7209,2.1324,1.7955,2.0271,0.1290,207.2305,0.2600,-0.0000
9.7767,1.7624,2.1582,1.7900,2.0300,0.1312,208.2820,0.2479,0.0122
9.9767,1.8053,2.1852,1.8795,2.0702,0.1369,206.3453,0.2600,-0.0000
10.1767,1.8463,2.2112,1.9169,2.0952,0.1358,206.9835,0.2600,0.1560
10.3767,1.8855,2.2367,1.9665,2.1291,0.1347,206.5067,0.2600,-0.0000
10.5767,1.9269,2.2638,2.0034,2.1548,0.1332,204.0147,0.2463,-0.0000
10.7767,1.9682,2.2908,2.0404,2.1805,0.1318,207.2102,0.2466,0.0526
10.9767,2.0095,2.3179,2.0916,2.1908,0.1513,204.8162,0.2499,-0.0070
11.1768,2.0519,2.3456,2.1414,2.2241,0.1509,203.1174,0.2600,-0.0526
11.3767,2.0939,2.3727,2.1787,2.2494,0.1496,202.0093,0.2600,-0.0000
11.5767,2.1314,2.3969,2.2156,2.2751,0.1481,205.2810,0.2517,-0.0084
11.7767,2.1767,2.4262,2.2652,2.3090,0.1468,205.2001,0.2597,-0.0000
11.9767,2.2183,2.4530,2.2400,2.3000,0.1545,205.1145,0.2463,-0.0526
12.1767,2.2599,2.4795,2.3484,2.3519,0.1553,204.0373,0.2463,0.0526
12.3767,2.3020,2.5065,2.3857,2.3771,0.1541,203.1341,0.2472,-0.0000
12.5766,2.3435,2.5333,2.4352,2.4109,0.1529,203.5289,0.2600,0.0503
12.7766,2.3886,2.5627,2.4722,2.4365,0.1514,202.5242,0.2573,0.1579
12.9766,2.4262,2.5881,2.4800,2.4500,0.1482,203.9443,0.2600,-0.0000
13.1766,2.4714,2.6188,2.5682,2.4889,0.1620,200.2786,0.2600,-0.0526
13.3766,2.5124,2.6464,2.6057,2.5139,0.1620,202.8994,0.2463,0.0526
13.5766,2.5532,2.6742,2.6430,2.5390,0.1623,202.4731,0.2472,-0.0000
13.7766,2.5974,2.7046,2.6923,2.5732,0.1620,203.1688,0.2600,-0.0000
13.9766,2.6385,2.7332,2.7294,2.5987,0.1624,201.2702,0.2600,0.1579
14.1766,2.6782,2.7622,2.7200,2.6000,0.1675,202.2833,0.2584,-0.0000
14.3765,2.7219,2.7939,2.8174,2.6445,0.1773,200.8509,0.2600,-0.0084
14.5766,2.7623,2.8233,2.8673,2.6780,0.1793,200.7191,0.2600,-0.0000
14.7766,2.8022,2.8522,2.9044,2.7033,0.1807,201.9843,0.2471,-0.0526
14.9766,2.8429,2.8813,2.9414,2.7289,0.1815,202.0061,0.2600,-0.0000
15.1765,2.8862,2.9121,2.9600,2.7200,0.2058,200.2754,0.2600,-0.0526
15.3765,2.9266,2.9404,3.0488,2.7579,0.2196,201.9214,0.2600,-0.0503
15.5765,2.9678,2.9686,3.0863,2.7826,0.2205,200.2761,0.2600,-0.0000
15.7765,3.0131,2.9990,3.1362,2.8160,0.2206,197.5670,0.2600,-0.0457
15.9765,3.0554,3.0271,3.1856,2.8500,0.2198,197.3939,0.2600,-0.0000
16.1765,3.0971,3.0544,3.1700,2.8700,0.1983,197.7255,0.2600,-0.0526
16.3765,3.1431,3.0838,3.2596,2.9083,0.2107,197.4516,0.2597,0.0023
16.5765,3.1852,3.1108,3.2972,2.9330,0.2101,199.0320,0.2600,-0.0526
16.7765,3.2270,3.1373,3.3471,2.9664,0.2089,197.9757,0.2466,0.0526
16.9765,3.2695,3.1646,3.3842,2.9919,0.2073,198.6355,0.2600,-0.0520
17.1766,3.3147,3.1933,3.4338,3.0255,0.2058,199.2625,0.2600,0.0526
17.3765,3.3561,3.2198,3.4625,3.0528,0.1981,199.7770,0.2573,-0.0000
17.5765,3.3975,3.2466,3.5129,3.0853,0.1983,200.1294,0.2592,0.0526
17.7765,3.4387,3.2735,3.5504,3.1102,0.1978,198.3931,0.2600,-0.0000
17.9764,3.4800,3.3006,3.5877,3.1354,0.1973,199.0229,0.2600,0.0526
18.1765,3.5253,3.3311,3.6375,3.1689,0.1973,196.5796,0.2600,0.1556
18.3765,3.5664,3.3594,3.6500,3.1700,0.2071,195.2593,0.2600,0.0526
18.5764,3.6074,3.3880,3.6500,3.1700,0.2221,196.7612,0.2600,-0.0526
18.7764,3.6478,3.4156,3.7659,3.2241,0.2250,198.6894,0.2592,-0.0526
18.9764,3.6917,3.4452,3.8160,3.2571,0.2255,200.0804,0.2517,-0.0280
19.1764,3.7339,3.4732,3.8657,3.2908,0.2250,196.0229,0.2600,-0.0295
19.3764,3.7749,3.5004,3.8900,3.3200,0.2140,195.9793,0.2600,-0.0023
19.5764,3.8172,3.5284,3.8900,3.3200,0.2207,195.7143,0.2600,-0.0526
19.7764,3.8625,3.5576,3.9892,3.3637,0.2316,195.5396,0.2600,-0.0122
19.9764,3.9046,3.5845,4.0267,3.3885,0.2309,194.2249,0.2600,-0.0526
20.1764,3.9465,3.6108,4.0766,3.4220,0.2293,196.1702,0.2463,-0.0526
20.3764,3.9922,3.6390,4.1135,3.4476,0.2266,195.9620,0.2600,-0.0000
20.5764,4.0349,3.6651,4.1000,3.4700,0.2057,194.1777,0.2463,-0.0526
20.7764,4.0775,3.6911,4.1906,3.5067,0.2164,196.2346,0.2600,-0.0000
20.9764,4.1227,3.7190,4.2409,3.5394,0.2151,195.9595,0.2600,0.1579
21.1763,4.1649,3.7460,4.2785,3.5641,0.2145,195.7392,0.2600,-0.0000
21.3764,4.2060,3.7724,4.3282,3.5977,0.2132,196.3298,0.2472,-0.0526
21.5763,4.2479,3.7993,4.3100,3.5900,0.2183,195.1974,0.2583,0.0006
21.7763,4.2893,3.8261,4.4182,3.6383,0.2278,194.6442,0.2463,-0.0000
21.9764,4.3316,3.8539,4.4559,3.6628,0.2280,193.2887,0.2600,-0.0000
22.1763,4.3728,3.8811,4.4935,3.6876,0.2281,194.8010,0.2597,-0.0526
22.3763,4.4172,3.9103,4.5433,3.7210,0.2275,195.8603,0.2600,0.0526
22.5763,4.4585,3.9379,4.5800,3.7400,0.2322,193.2912,0.2600,-0.0526
22.7763,4.5002,3.9653,4.5800,3.7400,0.2390,192.1878,0.2600,-0.0404
22.9763,4.5454,3.9947,4.6829,3.7821,0.2532,191.7480,0.2517,-0.0280
23.1763,4.5869,4.0214,4.7210,3.8061,0.2537,195.2487,0.2600,0.0526
23.3763,4.6281,4.0483,4.7714,3.8387,0.2539,193.8738,0.2600,-0.0000
23.5763,4.6695,4.0753,4.8088,3.8637,0.2533,193.4477,0.2463,-0.0526
23.7763,4.7152,4.1050,4.7900,3.8600,0.2562,192.4094,0.2600,-0.0000
23.9763,4.7571,4.1322,4.9005,3.9028,0.2705,189.5478,0.2600,-0.0503
24.1763,4.7991,4.1593,4.9390,3.9262,0.2718,190.9616,0.2600,-0.0000
24.3763,4.8405,4.1859,4.9898,3.9581,0.2724,192.4064,0.2597,-0.0526
24.5763,4.8826,4.2129,5.0274,3.9828,0.2719,192.2082,0.2600,0.0526
24.7762,4.9285,4.2426,5.0600,4.0100,0.2672,188.8672,0.2600,-0.0526
24.9763,4.9699,4.2692,5.0600,4.0100,0.2744,190.3012,0.2600,0.0526
25.1762,5.0119,4.2965,5.1698,4.0561,0.2876,190.2601,0.2471,-0.0070
25.3762,5.0532,4.3232,5.2079,4.0802,0.2880,191.5313,0.2600,0.0526
25.5762,5.0981,4.3529,5.2582,4.1128,0.2886,191.4297,0.2584,0.1579
25.7762,5.1391,4.3815,5.3000,4.1300,0.2986,190.0846,0.2597,0.0023
25.9762,5.1794,4.4099,5.3000,4.1300,0.3047,189.2214,0.2600,-0.0526
26.1762,5.2233,4.4401,5.3000,4.1300,0.3195,189.7378,0.2471,-0.0457
26.3762,5.2604,4.4655,5.4324,4.1899,0.3248,190.9724,0.2463,-0.0000
26.5762,5.3053,4.4960,5.4828,4.2224,0.3261,190.1492,0.2600,0.0526
26.7762,5.3468,4.5244,5.5204,4.2471,0.3272,187.6036,0.2600,-0.0175
26.9762,5.3881,4.5525,5.5400,4.2500,0.3385,187.0102,0.2597,-0.0526
27.1762,5.4296,4.5804,5.5400,4.2500,0.3483,187.8201,0.2600,-0.0000
27.3762,5.4706,4.6077,5.6610,4.3077,0.3554,187.6973,0.2600,-0.0526
