timestamp_s,pos_real_x,pos_real_y,pos_plan_x,pos_plan_y,desviacion_m,eta_s,vel_lineal,vel_angular
0.0656,-0.2557,0.9417,-0.1608,0.9447,0.0950,0.0000,0.0000,-0.0000
0.2656,-0.2522,0.9431,-0.1608,0.9447,0.0915,0.0000,0.0688,0.5072
0.4655,-0.2269,0.9553,-0.1610,0.9597,0.0660,650.1111,0.2113,0.8127
0.6659,-0.1919,0.9784,-0.1613,0.9747,0.0309,280.1189,0.2257,0.6891
0.8655,-0.1596,1.0062,-0.1575,1.0041,0.0030,250.2227,0.2430,0.5410
1.0654,-0.1271,1.0406,-0.1454,1.0475,0.0196,235.1758,0.2516,0.4529
1.2654,-0.0961,1.0795,-0.0102,1.0858,0.0861,229.9752,0.2600,0.3684
1.4656,-0.0682,1.1200,-0.0103,1.1158,0.0580,224.7542,0.2600,0.3663
1.6655,-0.0420,1.1634,-0.0105,1.1608,0.0316,223.9804,0.2600,0.0213
1.8653,-0.0170,1.2066,-0.0032,1.2052,0.0138,221.9610,0.2600,-0.0070
2.0653,0.0061,1.2464,0.0041,1.2496,0.0037,221.6725,0.2600,0.0000
2.2652,0.0315,1.2903,0.1098,1.2871,0.0784,225.1340,0.2600,-0.0503
2.4652,0.0558,1.3337,0.1097,1.3321,0.0540,225.4129,0.2600,0.2689
2.6654,0.0785,1.3790,0.1095,1.3771,0.0311,225.2973,0.2600,0.1566
2.8654,0.0980,1.4208,0.1093,1.4221,0.0114,224.6725,0.2600,0.1097
3.0653,0.1164,1.4629,0.1134,1.4668,0.0049,224.4994,0.2600,0.1579
3.2651,0.1341,1.5054,0.2553,1.4539,0.1317,224.3263,0.2600,0.0194
3.4651,0.1469,1.5364,0.2678,1.4811,0.1329,215.6824,0.2600,-0.2632
3.6650,0.1660,1.5779,0.2860,1.5223,0.1323,216.3863,0.2600,-0.3684
3.8651,0.1882,1.6191,0.3069,1.5784,0.1255,215.2794,0.2600,-0.2632
4.0650,0.2135,1.6606,0.3193,1.6057,0.1192,217.7057,0.2463,-0.2632
4.2650,0.2389,1.6981,0.3435,1.6435,0.1181,220.1589,0.2600,-0.2632
4.4650,0.2693,1.7386,0.3799,1.7375,0.1105,220.7687,0.2600,-0.2632
4.6649,0.3000,1.7772,0.3797,1.7825,0.0800,222.2816,0.2597,0.3577
4.8649,0.3224,1.8081,0.3797,1.8125,0.0574,222.1653,0.2600,0.2632
5.0648,0.3364,1.8288,0.3796,1.8275,0.0432,221.7014,0.2600,0.1648
5.2648,0.3592,1.8642,0.3844,1.8572,0.0261,220.1824,0.2600,0.0526
5.4648,0.3851,1.9069,0.4991,1.9108,0.1140,216.2017,0.2600,0.1627
5.6648,0.4098,1.9511,0.4984,1.9558,0.0887,216.0286,0.2600,0.2562
5.8647,0.4323,1.9957,0.4978,1.9858,0.0662,215.8555,0.2600,0.0526
6.0647,0.4527,2.0369,0.5052,2.0302,0.0529,215.7401,0.2600,-0.0526
6.2647,0.4770,2.0858,0.5127,2.0745,0.0374,215.5671,0.2600,0.0404
6.4646,0.4954,2.1227,0.5202,2.1189,0.0250,217.5030,0.2463,-0.0526
6.6646,0.5173,2.1657,0.6661,2.1090,0.1592,222.2663,0.2600,0.0000
6.8646,0.5404,2.2100,0.6898,2.1800,0.1524,216.0372,0.2600,-0.1472
7.0645,0.5647,2.2545,0.6975,2.2090,0.1404,212.5093,0.2600,-0.1556
7.2647,0.5893,2.2979,0.7076,2.2373,0.1329,212.3363,0.2600,-0.0526
7.4645,0.6121,2.3372,0.7246,2.2619,0.1354,213.5070,0.2463,0.0000
7.6644,0.6371,2.3798,0.7876,2.3311,0.1582,215.9544,0.2463,-0.0526
7.8644,0.6622,2.4220,0.8024,2.3736,0.1483,216.6757,0.2600,-0.0659
8.0645,0.6863,2.4611,0.8135,2.4172,0.1346,212.6167,0.2600,-0.1579
8.2644,0.7143,2.5033,0.8230,2.4457,0.1230,210.6400,0.2592,-0.2632
8.4644,0.7434,2.5431,0.8471,2.4836,0.1195,212.3027,0.2600,-0.1579
8.6643,0.7706,2.5780,0.9200,2.3900,0.2402,217.0229,0.2597,-0.2632
8.8643,0.8024,2.6157,0.9200,2.3900,0.2545,220.3337,0.2463,-0.2632
9.0645,0.8369,2.6527,0.9965,2.4363,0.2689,215.6104,0.2600,-0.1579
9.2643,0.8693,2.6854,1.0421,2.4751,0.2722,213.5956,0.2600,-0.2632
9.4642,0.9028,2.7169,1.0549,2.4830,0.2789,213.4225,0.2600,-0.1579
9.6642,0.9402,2.7500,1.1248,2.5395,0.2799,213.1918,0.2600,-0.0575
9.8642,0.9788,2.7824,1.1231,2.7220,0.1565,211.3023,0.2491,-0.0452
10.0641,1.0163,2.8142,1.1419,2.7788,0.1305,213.4072,0.2600,0.1579
10.2641,1.0530,2.8475,1.1535,2.8065,0.1086,213.2779,0.2463,0.0526
10.4643,1.0886,2.8813,1.1715,2.8305,0.0973,214.9021,0.2479,0.1440
10.6640,1.1215,2.9135,1.1799,2.8429,0.0917,213.7955,0.2597,-0.0526
10.8640,1.1573,2.9483,1.3067,2.8761,0.1659,211.0804,0.2600,0.0350
11.0640,1.1929,2.9825,1.3221,2.9183,0.1443,212.2654,0.2463,-0.0526
11.2639,1.2284,3.0166,1.3414,2.9589,0.1269,213.4073,0.2600,-0.0000
11.4639,1.2610,3.0480,1.3508,2.9706,0.1185,210.6993,0.2600,-0.0526
11.6638,1.2936,3.0792,1.3697,2.9940,0.1142,211.6473,0.2518,0.0385
11.8638,1.3303,3.1140,1.4062,3.0199,0.1209,209.2985,0.2600,0.0526
12.0639,1.3662,3.1486,1.4633,3.1318,0.0985,208.1824,0.2600,0.3478
12.2638,1.3974,3.1820,1.4695,3.1611,0.0751,210.8203,0.2524,0.4599
12.4637,1.4283,3.2203,1.4816,3.2196,0.0534,211.5106,0.2583,0.3684
12.6637,1.4564,3.2609,1.4875,3.2491,0.0333,212.7482,0.2466,0.2655
12.8636,1.4802,3.3002,1.5109,3.2875,0.0333,211.0924,0.2600,0.2608
13.0637,1.5039,3.3442,1.6207,3.3111,0.1214,207.8263,0.2600,0.1579
13.2636,1.5269,3.3885,1.6322,3.3546,0.1106,209.4989,0.2600,-0.3684
13.4636,1.5504,3.4281,1.6397,3.3837,0.0998,209.2671,0.2600,-0.2632
13.6637,1.5757,3.4665,1.6566,3.4250,0.0910,207.3071,0.2600,-0.2632
13.8635,1.6050,3.5065,1.6627,3.4387,0.0891,209.6630,0.2466,-0.2632
14.0635,1.6365,3.5449,1.8020,3.4463,0.1926,212.6895,0.2592,-0.3615
14.2635,1.6706,3.5816,1.8261,3.4842,0.1835,212.2923,0.2600,-0.2632
14.4634,1.7030,3.6133,1.8349,3.4964,0.1763,212.2371,0.2600,-0.2632
14.6635,1.7398,3.6460,1.8571,3.5165,0.1747,213.6535,0.2600,-0.2632
14.8634,1.7824,3.6800,1.8810,3.5346,0.1756,211.6416,0.2600,-0.1579
15.0634,1.8222,3.7094,1.9296,3.5697,0.1761,212.7819,0.2463,-0.1579
15.2633,1.8633,3.7376,2.0043,3.5722,0.2173,207.9067,0.2600,-0.1097
15.4633,1.9017,3.7629,2.0259,3.5930,0.2105,204.9995,0.2600,-0.0526
15.6633,1.9442,3.7905,2.0620,3.6198,0.2074,204.7110,0.2600,0.0514
15.8633,1.9862,3.8175,2.1217,3.6645,0.2044,204.5379,0.2600,-0.0526
16.0632,2.0251,3.8421,2.1553,3.6944,0.1968,206.3064,0.2573,-0.0526
16.2632,2.0666,3.8676,2.2099,3.8368,0.1466,208.5237,0.2466,-0.0526
16.4631,2.1050,3.8913,2.2134,3.8514,0.1155,207.5972,0.2569,0.3779
16.6631,2.1400,3.9163,2.2267,3.9095,0.0869,213.5027,0.2430,0.5410
16.8631,2.1764,3.9480,2.2332,3.9388,0.0575,215.7949,0.2432,0.5387
17.0632,2.2073,3.9802,2.2417,3.9512,0.0450,210.5968,0.2516,0.4529
