timestamp_s,pos_real_x,pos_real_y,pos_plan_x,pos_plan_y,desviacion_m,eta_s,vel_lineal,vel_angular
0.1782,-0.2398,0.9458,-0.1309,0.9447,0.1089,0.0000,0.0364,0.1623
0.3782,-0.2152,0.9562,-0.1312,0.9597,0.0840,768.0314,0.2095,0.7694
0.5782,-0.1795,0.9771,-0.1315,0.9747,0.0480,292.2885,0.2241,0.7032
0.7782,-0.1453,1.0043,-0.1278,1.0041,0.0174,261.0650,0.2260,0.6864
0.9782,-0.1125,1.0377,-0.1198,1.0330,0.0087,246.4043,0.2598,0.3755
1.1782,-0.0860,1.0695,0.0198,1.0684,0.1059,232.7114,0.2555,0.4277
1.3783,-0.0561,1.1120,0.0196,1.1134,0.0758,233.8419,0.2493,0.4865
1.5783,-0.0335,1.1511,0.0194,1.1584,0.0534,233.3543,0.2463,0.3684
1.7784,-0.0131,1.1922,0.0192,1.1884,0.0325,226.8665,0.2597,0.2632
1.9783,0.0068,1.2381,0.0211,1.2333,0.0151,226.6160,0.2600,0.2632
2.1783,0.0241,1.2842,0.0275,1.2778,0.0073,226.4465,0.2600,0.2295
2.3784,0.0402,1.3323,0.1398,1.3350,0.0997,217.2066,0.2600,0.1461
2.5784,0.0541,1.3761,0.1397,1.3800,0.0857,216.5956,0.2600,-0.0295
2.7785,0.0687,1.4232,0.1396,1.4250,0.0709,217.9396,0.2466,-0.0023
2.9784,0.0840,1.4715,0.1437,1.4697,0.0597,218.1105,0.2600,-0.0526
3.1785,0.1001,1.5187,0.1500,1.5142,0.0501,216.0763,0.2600,-0.2284
3.3785,0.1179,1.5662,0.2379,1.5254,0.1268,216.0764,0.2600,-0.1811
3.5786,0.1370,1.6116,0.2524,1.5680,0.1233,217.3732,0.2463,-0.2632
3.7785,0.1586,1.6566,0.2667,1.6261,0.1123,219.4819,0.2600,-0.2632
3.9786,0.1799,1.6967,0.2804,1.6689,0.1042,217.2855,0.2600,-0.1579
4.1785,0.2042,1.7387,0.2965,1.7108,0.0963,220.4298,0.2517,-0.2021
4.3786,0.2288,1.7775,0.3799,1.7825,0.1511,220.9729,0.2532,-0.2632
4.5786,0.2563,1.8179,0.3798,1.8125,0.1237,222.4573,0.2504,0.2516
4.7786,0.2830,1.8610,0.3797,1.8575,0.0968,219.1769,0.2600,0.2493
4.9786,0.3057,1.9010,0.3796,1.8875,0.0751,217.1824,0.2600,0.1347
5.1786,0.3290,1.9444,0.3867,1.9320,0.0590,218.7667,0.2600,0.0023
5.3789,0.3522,1.9894,0.3938,1.9764,0.0436,218.6504,0.2600,0.0526
5.5787,0.3727,2.0307,0.5287,2.0335,0.1560,218.0379,0.2600,0.1579
5.7787,0.3937,2.0760,0.5279,2.0785,0.1343,217.8648,0.2600,0.1579
5.9788,0.4135,2.1226,0.5329,2.1081,0.1203,217.7494,0.2600,0.1347
6.1788,0.4318,2.1690,0.5402,2.1525,0.1096,217.5883,0.2597,0.0000
6.3789,0.4498,2.2157,0.5476,2.1969,0.0995,219.2009,0.2600,0.0526
6.5788,0.4676,2.2625,0.6534,2.1988,0.1964,218.9828,0.2600,-0.0487
6.7788,0.4847,2.3053,0.6681,2.2414,0.1942,217.8370,0.2600,-0.2632
6.9789,0.5044,2.3492,0.6905,2.3129,0.1896,221.5667,0.2600,-0.1579
7.1789,0.5262,2.3935,0.6990,2.3416,0.1804,223.5468,0.2600,-0.2493
7.3789,0.5479,2.4340,0.7038,2.3558,0.1744,219.7354,0.2584,-0.1579
7.5788,0.5719,2.4762,0.7281,2.3937,0.1766,220.0261,0.2600,-0.0549
7.7789,0.5977,2.5191,0.7753,2.4676,0.1849,218.4099,0.2531,-0.2126
7.9789,0.6226,2.5571,0.7870,2.4953,0.1756,218.3428,0.2463,-0.2632
8.1789,0.6528,2.5977,0.7983,2.5230,0.1636,216.7336,0.2600,-0.3684
8.3791,0.6845,2.6345,0.8194,2.5627,0.1528,217.8206,0.2490,-0.3684
8.5789,0.7200,2.6702,0.8194,2.5627,0.1464,218.4894,0.2600,-0.3684
8.7790,0.7570,2.7027,0.9200,2.7009,0.1630,214.9873,0.2600,-0.1278
8.9790,0.7919,2.7323,0.9199,2.7309,0.1280,214.3613,0.2564,0.4256
9.1790,0.8290,2.7691,0.9227,2.7456,0.0965,218.1405,0.2479,0.4598
9.3791,0.8590,2.8040,0.9307,2.7899,0.0730,215.5240,0.2600,0.3452
9.5791,0.8904,2.8438,0.9403,2.8338,0.0509,211.6918,0.2600,0.0457
9.7791,0.9207,2.8826,1.1168,2.7981,0.2135,214.4545,0.2600,-0.0526
9.9791,0.9519,2.9217,1.1364,2.8547,0.1963,215.9717,0.2600,-0.0280
10.1792,0.9823,2.9595,1.1526,2.8966,0.1816,216.8252,0.2600,-0.1579
10.3792,1.0115,2.9941,1.1526,2.8966,0.1715,217.0224,0.2463,-0.1579
10.5791,1.0447,3.0316,1.1787,2.9333,0.1663,215.4457,0.2600,-0.0665
10.7792,1.0783,3.0681,1.1787,2.9333,0.1681,212.3182,0.2600,-0.0926
10.9792,1.1107,3.1019,1.3006,3.0156,0.2085,211.1234,0.2600,0.1509
11.1792,1.1446,3.1376,1.3215,3.0717,0.1888,212.1958,0.2600,0.0120
11.3792,1.1789,3.1747,1.3336,3.0992,0.1721,212.0212,0.2546,0.0280
11.5793,1.2091,3.2078,1.3397,3.1129,0.1614,213.9240,0.2600,0.0526
11.7793,1.2424,3.2449,1.3662,3.1492,0.1565,211.1454,0.2573,-0.0352
11.9793,1.2758,3.2822,1.4294,3.2371,0.1601,213.5107,0.2600,0.0070
12.1793,1.3080,3.3195,1.4401,3.2808,0.1376,213.3943,0.2600,0.1579
12.3793,1.3374,3.3549,1.4517,3.3243,0.1183,213.2771,0.2600,-0.0526
12.5793,1.3698,3.3938,1.4590,3.3534,0.0979,211.2259,0.2600,0.0194
12.7794,1.3988,3.4287,1.4757,3.3948,0.0840,212.8123,0.2600,-0.0526
12.9793,1.4315,3.4672,1.6071,3.4359,0.1783,209.8691,0.2546,0.0280
13.1794,1.4630,3.5052,1.6163,3.4800,0.1554,210.3137,0.2600,0.0404
13.3795,1.4949,3.5447,1.6240,3.5089,0.1339,208.3456,0.2600,0.1579
13.5794,1.5227,3.5805,1.6308,3.5533,0.1114,209.2107,0.2471,0.0457
13.7794,1.5511,3.6167,1.6364,3.5828,0.0918,209.8939,0.2600,-0.1579
13.9795,1.5825,3.6546,1.6576,3.6224,0.0816,209.4515,0.2600,-0.0526
14.1795,1.6149,3.6918,1.7900,3.4700,0.2826,212.7172,0.2600,-0.3684
14.3795,1.6469,3.7246,1.7900,3.4700,0.2921,210.2938,0.2532,-0.3684
14.5795,1.6802,3.7546,1.7900,3.4700,0.3050,210.4585,0.2600,-0.3684
14.7796,1.7194,3.7856,1.7900,3.4700,0.3234,209.3527,0.2517,-0.2632
14.9796,1.7590,3.8137,1.9674,3.5580,0.3299,211.9551,0.2463,-0.2632
15.1796,1.8012,3.8405,1.9924,3.6670,0.2581,208.8817,0.2600,-0.2562
15.3796,1.8401,3.8639,2.0215,3.7013,0.2436,205.5063,0.2479,0.0665
15.5796,1.8819,3.8901,2.0326,3.7113,0.2338,206.9817,0.2463,0.1579
15.7796,1.9229,3.9173,2.0849,3.7649,0.2225,209.2116,0.2600,0.0333
15.9797,1.9632,3.9443,2.1077,3.7844,0.2156,211.1726,0.2600,-0.0179
16.1797,2.0046,3.9722,2.2096,3.9177,0.2122,208.5510,0.2600,-0.0000
16.3797,2.0421,3.9981,2.2170,3.9468,0.1823,205.1188,0.2520,0.4634
16.5797,2.0796,4.0285,2.2308,4.0050,0.1530,211.1925,0.2432,0.5387
16.7799,2.1139,4.0622,2.2379,4.0342,0.1271,213.1066,0.2524,0.4599
16.9797,2.1428,4.0959,2.2379,4.0342,0.1133,211.3132,0.2463,0.4737
17.1798,2.1713,4.1355,2.2609,4.0728,0.1094,211.2881,0.2492,0.4682
17.3798,2.1937,4.1733,2.4252,4.1083,0.2404,211.5534,0.2463,0.3174
17.5798,2.2178,4.2177,2.4414,4.1659,0.2295,207.4813,0.2600,-0.1579
17.7798,2.2400,4.2568,2.4486,4.1950,0.2176,205.1448,0.2517,-0.2021
17.9798,2.2641,4.2960,2.4532,4.2093,0.2080,205.2131,0.2600,-0.1579
18.1799,2.2908,4.3366,2.4532,4.2093,0.2064,205.3676,0.2490,-0.1811
18.3798,2.3170,4.3736,2.6077,4.1917,0.3429,205.9055,0.2490,-0.2400
18.5799,2.3477,4.4140,2.6240,4.2169,0.3394,202.2807,0.2600,-0.0122
18.7799,2.3752,4.4499,2.6496,4.2539,0.3372,202.0051,0.2584,0.0526
18.9799,2.4025,4.4859,2.6496,4.2539,0.3389,203.5724,0.2499,0.0175
19.1799,2.4325,4.5258,2.6715,4.2745,0.3468,202.7688,0.2592,-0.0457
19.3799,2.4616,4.5643,2.6822,4.2849,0.3560,205.7541,0.2545,-0.0141
19.5800,2.4919,4.6040,2.7500,4.3700,0.3484,206.9568,0.2581,-0.3160
19.7800,2.5192,4.6355,2.7500,4.3700,0.3518,215.2113,0.2150,-0.7810
19.9801,2.5481,4.6612,2.7500,4.3700,0.3543,235.1776,0.2260,-0.6864
20.1801,2.5809,4.6836,2.7500,4.3700,0.3563,236.6528,0.2228,-0.7141
20.3800,2.6175,4.7028,2.7500,4.3700,0.3583,228.8839,0.2339,-0.6186
20.5801,2.6607,4.7195,2.9600,4.5200,0.3596,220.1666,0.2500,-0.4811
20.7801,2.7049,4.7322,2.9600,4.5200,0.3318,207.1729,0.2600,-0.2632
20.9800,2.7534,4.7434,2.9600,4.5200,0.3043,199.9082,0.2463,-0.2632
21.1801,2.8020,4.7520,2.9600,4.5200,0.2807,201.8318,0.2573,-0.2632
21.3801,2.8470,4.7579,2.9600,4.5200,0.2634,199.9655,0.2600,-0.1811
21.5801,2.8975,4.7626,3.2300,4.5800,0.3793,197.9716,0.2600,-0.1579
21.7802,2.9467,4.7657,3.2300,4.5800,0.3388,199.4553,0.2600,-0.0526
21.9802,2.9967,4.7684,3.2300,4.5800,0.2999,200.8704,0.2531,-0.0526
22.1802,3.0458,4.7705,3.2300,4.5800,0.2650,200.2180,0.2463,-0.0526
22.3803,3.0910,4.7720,3.2300,4.5800,0.2371,200.8795,0.2560,-0.0526
22.5802,3.1404,4.7732,3.2300,4.5800,0.2130,200.7093,0.2600,-0.0526
22.7802,3.1881,4.7739,3.5322,4.6969,0.3527,202.8547,0.2326,0.2040
22.9802,3.2311,4.7765,3.5322,4.6969,0.3115,211.0979,0.2284,0.6659
23.1803,3.2712,4.7842,3.5322,4.6969,0.2753,228.4341,0.2164,0.7692
23.3803,3.3075,4.7967,3.5436,4.7404,0.2427,238.4745,0.2150,0.7810
23.5803,3.3454,4.8162,3.5468,4.7551,0.2105,235.4055,0.2228,0.7141
23.7803,3.3819,4.8417,3.7400,4.6400,0.4110,222.8379,0.2339,0.6190
23.9803,3.4161,4.8706,3.7400,4.6400,0.3976,207.4601,0.2600,0.0094
24.1804,3.4543,4.9029,3.7400,4.6400,0.3882,197.1189,0.2479,-0.1579
24.3804,3.4937,4.9335,3.7400,4.6400,0.3832,195.8307,0.2600,-0.2632
24.5804,3.5307,4.9599,3.7400,4.6400,0.3823,196.9149,0.2471,-0.1579
24.7804,3.5714,4.9872,3.9800,4.7900,0.4537,203.0445,0.2518,-0.1579
24.9805,3.6137,5.0143,3.9800,4.7900,0.4295,200.4925,0.2600,-0.0526
25.1804,3.6554,5.0405,3.9800,4.7900,0.4100,198.0867,0.2479,-0.0526
25.3805,3.6946,5.0646,3.9800,4.7900,0.3960,198.6245,0.2600,-0.0526
25.5805,3.7381,5.0907,3.9800,4.7900,0.3859,196.6439,0.2600,-0.1509
25.7805,3.7804,5.1152,3.9800,4.7900,0.3816,199.0177,0.2600,-0.1179
25.9805,3.8205,5.1377,4.1898,4.9629,0.4086,196.2125,0.2600,0.1621
26.1805,3.8608,5.1615,4.1972,4.9759,0.3842,193.6439,0.2600,0.1579
26.3805,3.9064,5.1901,4.2131,5.0014,0.3601,193.3555,0.2600,0.1579
26.5806,3.9450,5.2160,4.2221,5.0134,0.3433,194.1256,0.2600,0.1137
26.7806,3.9826,5.2425,4.2312,5.0253,0.3301,193.8359,0.2600,0.1579
26.9806,4.0216,5.2715,4.4000,5.0300,0.4490,200.0151,0.2499,0.0295
27.1806,4.0653,5.3027,4.4000,5.0300,0.4318,199.3243,0.2470,-0.5062
27.3806,4.1019,5.3240,4.4000,5.0300,0.4187,207.2698,0.2430,-0.5410
27.5806,4.1416,5.3423,4.4000,5.0300,0.4054,210.2347,0.2514,-0.4613
27.7808,4.1883,5.3592,4.4000,5.0300,0.3914,202.6594,0.2524,-0.4599
27.9806,4.2362,5.3722,4.6400,5.1200,0.4761,198.2275,0.2600,-0.3684
28.1807,4.2821,5.3814,4.6400,5.1200,0.4432,192.2579,0.2600,-0.2632
28.3808,4.3268,5.3884,4.6400,5.1200,0.4125,193.7935,0.2600,-0.1579
28.5807,4.3757,5.3946,4.6400,5.1200,0.3811,195.1980,0.2490,-0.1579
28.7808,4.4213,5.3991,4.6400,5.1200,0.3546,193.4337,0.2560,-0.0526
28.9807,4.4674,5.4031,4.6400,5.1200,0.3316,193.0893,0.2600,-0.0526
29.1808,4.5164,5.4069,4.9100,5.1500,0.4700,192.2698,0.2573,0.1305
29.3809,4.5595,5.4118,4.9100,5.1500,0.4375,197.6158,0.2330,0.6264
29.5808,4.5998,5.4208,4.9100,5.1500,0.4118,207.7038,0.2376,0.5874
29.7808,4.6450,5.4360,4.9397,5.1841,0.3877,205.3674,0.2524,0.4599
29.9809,4.6892,5.4555,4.9397,5.1841,0.3694,197.9056,0.2466,0.4723
30.1809,4.7326,5.4794,5.1800,5.2100,0.5222,197.8440,0.2600,0.3684
30.3809,4.7748,5.5061,5.1800,5.2100,0.5018,192.7010,0.2600,-0.1463
30.5810,4.8169,5.5305,5.1800,5.2100,0.4844,196.1565,0.2414,-0.5549
30.7809,4.8587,5.5493,5.1800,5.2100,0.4672,206.3739,0.2430,-0.5410
30.9811,4.9050,5.5643,5.1800,5.2100,0.4486,202.8333,0.2554,-0.4189
31.1810,4.9522,5.5753,5.1800,5.2100,0.4305,196.7150,0.2547,-0.4368
31.3810,4.9981,5.5825,5.4212,5.3832,0.4676,192.2102,0.2518,-0.0063
31.5810,5.0463,5.5904,5.4212,5.3832,0.4283,191.7562,0.2446,0.5271
31.7810,5.0900,5.6014,5.4474,5.4372,0.3933,193.7846,0.2577,0.3915
31.9810,5.1324,5.6155,5.4474,5.4372,0.3620,193.2210,0.2524,0.4599
32.1811,5.1779,5.6349,5.4632,5.4626,0.3333,193.0965,0.2479,0.3684
32.3810,5.2211,5.6571,5.6540,5.4386,0.4849,193.5315,0.2600,0.3684
32.5810,5.2610,5.6803,5.6793,5.4930,0.4583,192.8914,0.2600,0.1579
32.7811,5.3027,5.7059,5.6920,5.5201,0.4314,192.0697,0.2545,0.0926
32.9811,5.3408,5.7303,5.6992,5.5333,0.4090,191.9869,0.2600,-0.0000
33.1811,5.3827,5.7577,5.6992,5.5333,0.3880,190.7108,0.2600,0.1031
33.3811,5.4238,5.7860,5.8700,5.5100,0.5247,187.3459,0.2600,0.1811
33.5811,5.4609,5.8132,5.8700,5.5100,0.5092,186.4324,0.2600,-0.2036
33.7812,5.4983,5.8391,5.8700,5.5100,0.4964,189.5134,0.2600,-0.2632
33.9812,5.5401,5.8651,5.8700,5.5100,0.4847,190.2525,0.2490,-0.2632
34.1812,5.5845,5.8896,5.8700,5.5100,0.4750,187.2966,0.2600,-0.2632
34.3812,5.6252,5.9096,5.8700,5.5100,0.4686,186.3249,0.2479,-0.2493
34.5812,5.6703,5.9296,6.1100,5.6300,0.5321,187.3057,0.2463,-0.0000
34.7812,5.7161,5.9496,6.1100,5.6300,0.5072,187.2145,0.2531,0.0194
34.9813,5.7579,5.9678,6.1100,5.6300,0.4879,186.2837,0.2531,-0.0333
35.1813,5.8038,5.9875,6.1100,5.6300,0.4707,184.8488,0.2600,-0.0000
35.3813,5.8504,6.0075,6.1100,5.6300,0.4581,183.6055,0.2600,-0.0526
35.5813,5.8964,6.0269,6.3678,5.8240,0.5132,185.1144,0.2600,-0.0000
35.7814,5.9417,6.0474,6.3735,5.8378,0.4799,186.4698,0.2524,0.4599
35.9813,5.9808,6.0692,6.3801,5.8513,0.4549,189.5803,0.2524,0.4599
36.1814,6.0188,6.0943,6.3872,5.8645,0.4342,187.5269,0.2600,0.3684
36.3813,6.0583,6.1245,6.3872,5.8645,0.4193,186.0685,0.2531,0.3137
36.5814,6.0895,6.1515,6.6388,5.9449,0.5868,185.9542,0.2597,0.2632
36.7814,6.1285,6.1879,6.6446,5.9587,0.5648,186.3883,0.2504,-0.0863
36.9815,6.1631,6.2194,6.6513,5.9721,0.5472,184.7368,0.2600,-0.0969
37.1815,6.1974,6.2490,6.6585,5.9853,0.5312,184.6066,0.2600,-0.1579
37.3815,6.2358,6.2804,6.6585,5.9853,0.5154,184.9373,0.2600,-0.1579
37.5815,6.2718,6.3080,6.6585,5.9853,0.5036,184.7217,0.2597,-0.1579
37.7816,6.3150,6.3396,6.8300,5.9900,0.6225,184.9921,0.2545,-0.2933
37.9816,6.3524,6.3639,6.8300,5.9900,0.6065,185.4996,0.2522,-0.4613
38.1818,6.3955,6.3868,6.8300,5.9900,0.5884,187.6186,0.2554,-0.4189
38.3816,6.4399,6.4056,6.8300,5.9900,0.5700,186.7320,0.2555,-0.4251
38.5817,6.4836,6.4204,6.8300,5.9900,0.5525,184.5914,0.2517,-0.3684
38.7817,6.5280,6.4323,7.0700,6.0800,0.6464,182.9062,0.2600,-0.3684
38.9817,6.5767,6.4433,7.0700,6.0800,0.6127,181.1725,0.2600,0.2632
39.1817,6.6249,6.4564,7.0700,6.0800,0.5829,182.5499,0.2600,0.3684
39.3818,6.6722,6.4725,7.0700,6.0800,0.5588,181.9285,0.2600,0.1979
39.5819,6.7146,6.4887,7.0700,6.0800,0.5416,181.7728,0.2463,0.1579
39.7818,6.7563,6.5063,7.3100,6.1400,0.6638,183.5064,0.2600,0.2608
39.9819,6.8024,6.5275,7.3100,6.1400,0.6386,179.1669,0.2600,-0.1621
40.1819,6.8435,6.5450,7.3100,6.1400,0.6178,181.7174,0.2463,-0.3684
40.3819,6.8943,6.5626,7.3100,6.1400,0.5928,183.3200,0.2463,-0.2632
40.5819,6.9379,6.5751,7.3100,6.1400,0.5725,181.6880,0.2573,-0.2632
40.7820,6.9905,6.5873,7.3100,6.1400,0.5497,179.8501,0.2600,-0.2632
40.9821,7.0345,6.5952,7.5800,6.2000,0.6736,182.2150,0.2600,-0.1579
41.1821,7.0833,6.6024,7.5800,6.2000,0.6393,184.2742,0.2531,-0.0526
41.3820,7.1283,6.6085,7.5800,6.2000,0.6090,182.7962,0.2463,-0.0526
41.5821,7.1735,6.6143,7.5800,6.2000,0.5804,180.8812,0.2600,-0.0526
41.7821,7.2229,6.6200,7.5800,6.2000,0.5513,180.7259,0.2600,-0.0526
41.9821,7.2711,6.6251,7.7900,6.2300,0.6522,180.9516,0.2600,-0.0526
